fecha,temperaturamedia,temperaturamaxmedia,temperaturaminmedia,precipitacionesmedia,horassolmedia,rachamedia,vientovelmedia,humedadrelmedia,humedadrelmaxmedia,humedadrelminmedia,presionmaxmedia,presionminmedia
2011-12-08,9.728059071729959,15.039662447257385,4.418776371308017,0.061489361702127654,5.215625,5.282539682539682,1.3878172588832487,77.83511777301928,93.40816326530613,57.79818594104309,975.76,971.6086956521739
2011-12-09,8.733686440677966,12.915889830508474,4.55614406779661,0.9672451193058568,2.0746031746031743,5.6056,1.4069767441860466,80.92341356673961,93.36301369863014,65.162100456621,973.0,967.8258333333334
2011-12-10,8.668710359408035,12.315433403805496,5.021141649048626,1.6124731182795697,2.4140625,7.056382978723404,1.863076923076923,83.2472885032538,94.65903890160183,68.64302059496568,967.0958677685951,963.8247933884297
2011-12-11,8.387021276595744,11.574255319148936,5.195106382978723,0.9518518518518518,2.1390625,7.774462365591398,2.0161953727506425,84.90829694323143,95.4,71.9448275862069,969.3728813559322,965.2957627118643
2011-12-12,9.417796610169491,13.01334745762712,5.822033898305085,0.22737306843267108,3.6318840579710145,9.464736842105262,2.4128205128205127,80.27173913043478,94.02745995423341,64.09839816933638,972.1457627118643,967.5254237288135
2011-12-13,10.173829787234043,13.672978723404256,6.6759574468085106,2.2501089324618735,2.274626865671642,11.632375979112272,3.403562340966921,77.75862068965517,91.5228310502283,63.24885844748859,970.4641025641026,966.3427350427351
2011-12-14,10.640717299578059,14.412869198312237,6.871097046413502,0.8372294372294372,3.7149253731343284,11.928385416666666,3.3903553299492386,76.50322580645161,91.61678004535148,60.317460317460316,971.515,965.8233333333334
2011-12-15,9.572033898305085,13.428389830508474,5.71271186440678,0.5989177489177488,4.553030303030303,11.458656330749355,3.187121212121212,70.94206008583691,88.51927437641723,54.997732426303855,973.1834710743801,967.6107438016528
2011-12-16,9.88427672955975,14.40461215932914,5.364570230607967,5.657296137339056,1.7061538461538461,18.494559585492226,5.586734693877551,76.16666666666667,91.53047404063206,57.69751693002257,971.76,960.9025
2011-12-17,7.450317124735729,10.78139534883721,4.12262156448203,4.136830835117773,4.480952380952381,12.224607329842932,3.5979591836734697,71.16774193548387,88.10633484162896,56.48190045248869,969.9104838709677,966.4088709677419
