fecha,Carbon_NR,CicloCombinado_NR,Cogeneracion_NR,Eolica_R,FuelGas_NR,Hidroeolica_R,Hidraulica_R,MotorDiesel_NR,Nuclear_NR,OtrasRenovables_R,SolarFotovoltaica_R,SolarTermica_R,TurbinaGas_NR,TurbinaVapor_NR,TurbinaBombeo_NR,ResiduosNoRenov_NR,ResiduosRenov_R,GeneracionTotal,Año,Mes,Dia,DiaSemana,SumaGeneracion_NoRenovables,SumaGeneracion_Renovables,SumaGeneracionTotal,Porcentaje_NoRenovable,Porcentaje_Renovable,valordemanda,carbon,ciclocombinado,cogeneracion,fuelgas,motordiesel,turbinagas,turbinavapor,residuosnorenov,emisionestotal,emisionespormwh,precipitacionesmedia,horassolmedia,temperaturamedia,temperaturamaxmedia,temperaturaminmedia,rachamedia,vientovelmedia,humedadrelmedia,humedadrelmaxmedia,humedadrelminmedia,presionmaxmedia,presionminmedia
2016-07-10,96500.016,67532.482,66676.594,73679.088,0.0,68.34,64522.647,10741.273,166724.354,9982.687,30386.237,29183.988,1261.727,6235.631,0.0,8262.0235,2526.4945,634283.5820000002,2016,7,10,7,423934.1005,210349.48150000002,634283.582,66.84,33.16,681645.652,91675.015,27986.865,0,0.0,8194.479,736.83,5549.712,1982.886,161462.89200000002,0.2545594692690627,0.24210526315789474,10.535051546391752,25.354430379746834,32.263471971066906,18.441591320072334,9.306046511627907,2.6909930715935335,51.40453686200378,79.08193668528864,37.22346368715084,968.9766666666667,966.136
2016-07-11,134809.4,104483.056,72952.636,92308.224,0.0,115.091,95111.79,10659.303,166731.54,10273.198,30331.1,28915.555,2070.987,7529.033,0.0,8146.5285,2481.2105,766918.652,2016,7,11,1,507382.4835000001,259536.16849999997,766918.652,66.16,33.84,819684.185,128068.93,41883.425,0,0.0,8134.626,1330.86,6700.839,1955.168,215795.849,0.2813803634026102,0.4794545454545454,9.194845360824742,23.797636363636364,29.568363636363635,18.034664246823958,9.64127358490566,3.0430232558139534,55.505494505494504,79.28625235404897,41.16007532956686,967.3755102040817,964.7061224489795
2016-07-12,136188.54,95806.367,74053.067,125070.994,0.0,124.005,80883.96,10703.031,166941.822,10371.878,31532.245,31589.612,2753.799,7075.879,0.0,8530.8935,2566.9205,784193.0120000002,2016,7,12,2,502053.3985,282139.6145,784193.013,64.02,35.98,820246.74,129379.113,38640.561,0,0.0,8241.542,1842.449,6297.532,2047.415,214588.778,0.2736428082325222,0.19057971014492753,10.812121212121212,22.09747747747748,27.87693693693694,16.321081081081083,10.399305555555555,3.488356164383562,54.396021699819165,80.82222222222222,38.525925925925925,969.166447368421,965.8105263157895
2016-07-13,102952.027,84529.725,75526.143,173956.823,0.0,106.359,67776.005,10829.053,167929.733,10280.069,30074.625,32334.403,2369.519,7177.086,0.0,8260.9415,2569.7915,776672.3030000002,2016,7,13,3,459574.22750000004,317098.0755,776672.3030000001,59.17,40.83,791222.123,97804.426,34452.754,0,0.0,8384.57,1665.493,6387.607,1982.625,179377.41000000003,0.230956362557453,0.17495429616087751,10.434343434343434,20.534119782214155,26.062794918330308,14.997101449275362,10.818372093023255,3.835632183908046,52.07789855072464,78.49906542056075,37.71588785046729,972.9101351351352,968.7763513513513
2016-07-14,85087.097,75966.783,75273.376,194321.062,0.0,92.659,67836.324,10647.657,168084.077,10134.04,30427.033,31313.95,2198.195,7257.763,0.0,8108.6065,2571.8855,769320.508,2016,7,14,4,432623.55449999997,336696.9535,769320.5079999999,56.23,43.77,775029.946,80832.742,31321.738,0,0.0,8249.99,1786.377,6459.409,1946.066,159200.204,0.2069361239490056,0.018148820326678767,11.648421052631578,20.497841726618702,26.920143884892088,14.075359712230215,10.238850574712643,3.4,51.17028985507246,77.84386617100371,35.267657992565056,972.9782894736843,969.8282894736842
2016-07-15,84472.049,75284.331,76108.957,155536.125,0.0,96.575,71328.453,11021.142,168429.625,10262.444,31985.273,31555.044,1788.556,7607.254,0.0,8271.878,2425.265,736172.971,2016,7,15,5,432983.792,303189.179,736172.971,58.82,41.18,764830.789,80248.447,31083.69,0,0.0,8501.537,1516.646,6770.456,1985.25,159027.43,0.2160191099979952,0.0034172661870503595,12.61111111111111,21.35080213903743,28.640819964349376,14.058823529411764,9.70525114155251,3.2252272727272726,46.68953068592058,76.36162361623616,31.354243542435423,972.8960784313726,969.5647058823529
2016-07-16,83187.269,68172.063,69692.782,104390.386,0.0,79.607,59682.592,11149.763,168242.159,9783.201,32715.194,32202.197,1230.256,7154.369,0.0,8486.492,2310.183,658478.513,2016,7,16,6,417315.15300000005,241163.35999999996,658478.513,63.38,36.62,693162.532,79027.905,28301.264,0,0.0,8560.005,864.125,6367.388,2036.758,151640.70200000002,0.2302895219908261,0.003956834532374101,13.004166666666668,22.874910394265235,30.604121863799282,15.14462365591398,8.896796338672768,2.772311212814645,45.594202898550726,77.23290203327171,29.850277264325324,971.2421052631578,967.7552631578947
2016-07-17,87817.479,57509.321,67771.783,87165.766,0.0,103.977,51184.431,10724.432,167576.03,9643.206,32253.115,31302.737,944.945,6085.269,0.0,8459.742,2311.772,620854.0049999999,2016,7,17,7,406889.0010000001,213965.004,620854.0050000001,65.54,34.46,641482.386,83426.605,24398.312,0,0.0,8226.609,572.477,5415.889,2030.339,149823.508,0.2413184207453087,0.0007168458781362007,12.808333333333332,23.973429084380612,31.93249551166966,16.013285457809694,8.810854503464203,2.6747727272727273,45.3027027027027,75.4195933456562,29.473197781885396,969.8728476821191,966.933774834437
2016-07-18,135977.177,95187.183,73242.096,124129.892,0.0,94.945,72012.773,11165.835,167680.977,9316.487,32033.886,30292.816,1987.97,7993.643,0.0,8464.0315,2304.7115,771884.423,2016,7,18,1,501698.9125,270185.5105,771884.423,65.0,35.0,779960.407,129178.31899999996,38718.861,0,0.0,8626.38,1554.554,7114.342,2031.367,215055.82,0.2786114262601202,0.02621184919210054,12.466666666666667,25.24454382826476,33.059749552772814,17.42808586762075,9.808045977011494,3.100907029478458,43.17625899280576,72.7380073800738,28.199261992619927,968.9605263157895,965.8526315789474
2016-07-19,165819.635,105460.356,72396.043,128968.633,0.0,60.125,74777.623,10981.726,167276.588,9103.317,27388.453,11776.256,1980.669,7936.91,0.0,8535.912,2358.351,794820.5970000001,2016,7,19,2,540387.839,254432.758,794820.5970000001,67.99,32.01,806888.322,157528.653,42511.197,0,0.0,8416.248,1547.73,7063.85,2048.619,246626.793,0.3102924030037435,0.05374771480804387,10.902040816326531,25.51945945945946,33.229856115107914,17.80882882882883,10.875813953488374,3.1092165898617514,44.61050724637681,73.32342007434944,29.517690875232773,968.9452702702703,965.4743243243244
